target,target_neighborhood,target_list,basis,comp_address,comp_sold_price,comp_ppsf,comp_sqft
525 N Fort Lauderdale Beach Blvd Unit#702,Four Seasons,4595000,same street,525 N Fort Lauderdale Beach Blvd Unit#803,4925000,2105.0,2340
525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,4500000,same street,1 N Fort Lauderdale Beach Blvd Unit#2002,2800000,1344.0,2083
525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,4500000,same street,525 N Fort Lauderdale Beach Blvd Unit#1404,3400000,1643.0,2069
525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,4500000,same street,1200 N Fort Lauderdale Beach Blvd Unit#701,770000,374.0,2059
525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,4500000,same street,601 N Fort Lauderdale Beach Blvd Unit#1501,1525000,744.0,2050
525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,4500000,same street,701 N Fort Lauderdale Beach Blvd Unit#TH4,1700000,774.0,2195
2701 N Atlantic Blvd,Lauderdale Beach,4500000,same street,2504 N Atlantic Blvd,6000000,1972.0,3042
2701 N Atlantic Blvd,Lauderdale Beach,4500000,same street,2920 N Atlantic Blvd,6500000,2364.0,2750
2613 Center Ave,Lauderdale Beach,4500000,same street,2615 Center Ave,4753000,1564.0,3039
2613 Center Ave,Lauderdale Beach,4500000,same street,2919 Center Avenue,2600000,1040.0,2500
2613 Center Ave,Lauderdale Beach,4500000,same street,2709 Center Ave,1835000,855.0,2146
2613 Center Ave,Lauderdale Beach,4500000,same street,3008 Center Ave,1400000,824.0,1700
2613 Center Ave,Lauderdale Beach,4500000,same street,3040 Center Ave,4400000,990.0,4446
701 N Fort Lauderdale Beach Boulevard Unit#902,Paramount Ft Lauderdale,4500000,same street,505 N Fort Lauderdale Beach Blvd Unit#224,600000,218.0,2757
701 N Fort Lauderdale Beach Boulevard Unit#902,Paramount Ft Lauderdale,4500000,same street,525 N Fort Lauderdale Beach Blvd Unit#1501,5750000,2233.0,2575
701 N Fort Lauderdale Beach Boulevard Unit#902,Paramount Ft Lauderdale,4500000,same street,1 N Fort Lauderdale Beach Boulevard Unit#2203,4700000,1226.0,3833
701 N Fort Lauderdale Beach Boulevard Unit#902,Paramount Ft Lauderdale,4500000,same street,1 N Fort Lauderdale Beach Blvd Unit#1906,2400000,946.0,2536
701 N Fort Lauderdale Beach Boulevard Unit#902,Paramount Ft Lauderdale,4500000,same street,1525 N Fort Lauderdale Beach Boulevard,5050000,1282.0,3938
151 N Seabreeze Boulevard Unit#1601-East,Selene Oceanfront Residenc Selene Oceanfront,4499900,same street,153 N Seabreeze Blvd Unit#2302,5250000,1620.0,3240
151 N Seabreeze Boulevard Unit#1601-East,Selene Oceanfront Residenc Selene Oceanfront,4499900,same street,153 N Seabreeze Boulevard Unit#1902-S,4675000,1443.0,3240
151 N Seabreeze Boulevard Unit#1601-East,Selene Oceanfront Residenc Selene Oceanfront,4499900,same street,153 N Seabreeze Boulevard Unit#S-502,3100000,957.0,3240
151 N Seabreeze Boulevard Unit#1601-East,Selene Oceanfront Residenc Selene Oceanfront,4499900,same street,151 N Seabreeze Boulevard Unit#E-2502,2845000,1243.0,2288
151 N Seabreeze Boulevard Unit#1601-East,Selene Oceanfront Residenc Selene Oceanfront,4499900,same street,153 N Seabreeze Boulevard Unit#2505,2200000,1164.0,1890
1 Las Olas Circle Unit#1501,Venetian Condominium,4499000,same street,1 Las Olas Circle Unit#1102,1425000,877.0,1625
1 Las Olas Circle Unit#1501,Venetian Condominium,4499000,same street,1 Las Olas Circle Unit#108,510000,324.0,1575
1 Las Olas Circle Unit#1501,Venetian Condominium,4499000,same street,1 Las Olas Circle Unit#1414,1070000,713.0,1500
1 Las Olas Circle Unit#1501,Venetian Condominium,4499000,same street,1 Las Olas Circle Unit#1112,880000,587.0,1500
1 Las Olas Circle Unit#1501,Venetian Condominium,4499000,same street,1 Las Olas Circle Unit#1204,830000,553.0,1500
1625 SE 1st Street,Colee Hammock,4499000,same street,1608 SE 1st St,2050000,653.0,3140
1625 SE 1st Street,Colee Hammock,4499000,same street,1512 SE 1st St,1650000,538.0,3066
1625 SE 1st Street,Colee Hammock,4499000,same street,1205 SE 1st Street,2050000,736.0,2786
1625 SE 1st Street,Colee Hammock,4499000,same street,1317 SE 1st St Unit#1317,1250000,525.0,2380
1625 SE 1st Street,Colee Hammock,4499000,same street,1601 SE 1st St,1700000,774.0,2196
525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,4495000,same street,525 N Fort Lauderdale Beach Boulevard Unit#1904,4000000,1784.0,2242
525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,4495000,same street,525 N Fort Lauderdale Beach Blvd Unit#1904,3850000,1717.0,2242
525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,4495000,same street,1 N Fort Lauderdale Beach Blvd Unit#1907,2400000,1089.0,2203
525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,4495000,same street,701 N Fort Lauderdale Beach Blvd Unit#TH4,1700000,774.0,2195
525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,4495000,same street,525 N Fort Lauderdale Beach Blvd Unit#803,4925000,2105.0,2340
3055 Harbor Dr Unit#2102,Harbourage Place,4495000,same street,3055 Harbor Dr Unit#603,1600000,475.0,3368
3055 Harbor Dr Unit#2102,Harbourage Place,4495000,same street,3025 Harbor Dr Unit#17,575000,383.0,1500
153  N Seabreeze Boulevard Unit#902,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000,same street,153 N Seabreeze Blvd Unit#2302,5250000,1620.0,3240
153  N Seabreeze Boulevard Unit#902,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000,same street,153 N Seabreeze Boulevard Unit#1902-S,4675000,1443.0,3240
153  N Seabreeze Boulevard Unit#902,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000,same street,153 N Seabreeze Boulevard Unit#S-502,3100000,957.0,3240
153  N Seabreeze Boulevard Unit#902,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000,same street,151 N Seabreeze Boulevard Unit#E-2502,2845000,1243.0,2288
153  N Seabreeze Boulevard Unit#902,Selene Oceanfront Residenc Selene Oceanfront Residen,4448000,same street,153 N Seabreeze Boulevard Unit#2505,2200000,1164.0,1890
505 NE 2nd Street Unit#38B,Viceroy Fort Lauderdale Viceroy,4410000,same street,1507 NE 2nd St,1000000,380.0,2634
505 NE 2nd Street Unit#38B,Viceroy Fort Lauderdale Viceroy,4410000,same street,808 NE 2nd Street Unit#808,1600000,606.0,2639
505 NE 2nd Street Unit#38B,Viceroy Fort Lauderdale Viceroy,4410000,same street,804 NE 2nd Street,1570000,595.0,2639
505 NE 2nd Street Unit#38B,Viceroy Fort Lauderdale Viceroy,4410000,same street,818 NE 2nd Street,1649000,618.0,2667
505 NE 2nd Street Unit#38B,Viceroy Fort Lauderdale Viceroy,4410000,same street,1113 NE 2nd St,1350000,562.0,2404
2832 NE 24th Ct,Coral Ridge Galt,4395000,neighborhood + band,2103 Bayview Drive,3000000,854.0,3511
2832 NE 24th Ct,Coral Ridge Galt,4395000,neighborhood + band,2709 NE 25th Ct,3300000,872.0,3786
2832 NE 24th Ct,Coral Ridge Galt,4395000,neighborhood + band,2408 NE 27th Avenue,3100000,975.0,3179
2832 NE 24th Ct,Coral Ridge Galt,4395000,neighborhood + band,2724 NE 21st Court,3250000,1034.0,3142
2832 NE 24th Ct,Coral Ridge Galt,4395000,neighborhood + band,2864 NE 24th Pl,3225000,1149.0,2806
450 Victoria Terrace,Victoria Park,4395000,neighborhood + band,550 NE 11th Ave,3000000,773.0,3883
450 Victoria Terrace,Victoria Park,4395000,neighborhood + band,548 NE 11th Ave,3000000,781.0,3841
450 Victoria Terrace,Victoria Park,4395000,neighborhood + band,618 NE 17th Way,3050000,802.0,3804
450 Victoria Terrace,Victoria Park,4395000,neighborhood + band,507 NE 11th Ave,3400000,762.0,4462
450 Victoria Terrace,Victoria Park,4395000,neighborhood + band,425 NE 10th Avenue,3365000,752.0,4474
717 Solar Isle Drive,Las Olas Isles,4395000,same street,603 Solar Isle Drive,5400000,1254.0,4307
717 Solar Isle Drive,Las Olas Isles,4395000,same street,808 Solar Isle Dr,3199999,926.0,3454
717 Solar Isle Drive,Las Olas Isles,4395000,same street,708 Solar Isle Dr,3625000,1662.0,2181
717 Solar Isle Drive,Las Olas Isles,4395000,same street,821 Solar Isle Dr,14400000,1611.0,8936
551 Bayshore Drive Unit#507D,Ritz Carlton Ftl,4339000,same street,715 Bayshore Drive Unit#904,1550000,518.0,2992
551 Bayshore Drive Unit#507D,Ritz Carlton Ftl,4339000,same street,435 Bayshore Dr Unit#PH3,2800000,976.0,2870
551 Bayshore Drive Unit#507D,Ritz Carlton Ftl,4339000,same street,777 Bayshore Dr Unit#PH-3,1500000,493.0,3040
551 Bayshore Drive Unit#507D,Ritz Carlton Ftl,4339000,same street,435 Bayshore Drive Unit#702,2947500,1068.0,2759
551 Bayshore Drive Unit#507D,Ritz Carlton Ftl,4339000,same street,615 Bayshore Dr Unit#105,1700000,627.0,2710
151 N Seabreeze Boulevard Unit#1101-e,Selene Oceanfront Residen,4299000,same street,153 N Seabreeze Blvd Unit#2302,5250000,1620.0,3240
151 N Seabreeze Boulevard Unit#1101-e,Selene Oceanfront Residen,4299000,same street,153 N Seabreeze Boulevard Unit#1902-S,4675000,1443.0,3240
151 N Seabreeze Boulevard Unit#1101-e,Selene Oceanfront Residen,4299000,same street,153 N Seabreeze Boulevard Unit#S-502,3100000,957.0,3240
151 N Seabreeze Boulevard Unit#1101-e,Selene Oceanfront Residen,4299000,same street,151 N Seabreeze Boulevard Unit#E-2502,2845000,1243.0,2288
151 N Seabreeze Boulevard Unit#1101-e,Selene Oceanfront Residen,4299000,same street,153 N Seabreeze Boulevard Unit#2505,2200000,1164.0,1890
505 NE 2nd Street Unit#43A,Viceroy Fort Lauderdale Viceroy,4200000,same street,1507 NE 2nd St,1000000,380.0,2634
505 NE 2nd Street Unit#43A,Viceroy Fort Lauderdale Viceroy,4200000,same street,808 NE 2nd Street Unit#808,1600000,606.0,2639
505 NE 2nd Street Unit#43A,Viceroy Fort Lauderdale Viceroy,4200000,same street,804 NE 2nd Street,1570000,595.0,2639
505 NE 2nd Street Unit#43A,Viceroy Fort Lauderdale Viceroy,4200000,same street,818 NE 2nd Street,1649000,618.0,2667
505 NE 2nd Street Unit#43A,Viceroy Fort Lauderdale Viceroy,4200000,same street,1113 NE 2nd St,1350000,562.0,2404
1016 SE 8th Street,Rio Vista,4195000,same street,820 SE 8th St,1800000,499.0,3606
1016 SE 8th Street,Rio Vista,4195000,same street,1125 SE 8th Street,2600000,794.0,3274
1016 SE 8th Street,Rio Vista,4195000,same street,812 SE 8th St,1875000,836.0,2243
801 SE 11th Ct,Rio Vista,4150000,same street,1010 SE 11th Court,3650000,777.0,4700
801 SE 11th Ct,Rio Vista,4150000,same street,806 SE 11th Ct,2150000,663.0,3244
801 SE 11th Ct,Rio Vista,4150000,same street,904 SE 11th Court,1750000,791.0,2213
801 SE 11th Ct,Rio Vista,4150000,same street,807 SE 11th Court,995000,573.0,1736
801 SE 11th Ct,Rio Vista,4150000,same street,1205 SE 11th Ct,1100000,651.0,1691
2225 NE 19th St,North Bal Harbour,4100000,same street,1913 NE 19th St,1950000,750.0,2600
2225 NE 19th St,North Bal Harbour,4100000,same street,3030 NE 19th Street,1595000,744.0,2145
2225 NE 19th St,North Bal Harbour,4100000,same street,3114 NE 19th St,1750000,826.0,2119
2225 NE 19th St,North Bal Harbour,4100000,same street,1800 NE 19th Street,869000,454.0,1916
2225 NE 19th St,North Bal Harbour,4100000,same street,2728 NE 19th St,1800000,377.0,4770
2415 Middle River Drive,Coral Ridge Galt,4095000,same street,1400 Middle River Drive,4510000,999.0,4515
2415 Middle River Drive,Coral Ridge Galt,4095000,same street,1710 Middle River Dr,3150000,846.0,3722
2415 Middle River Drive,Coral Ridge Galt,4095000,same street,644 Middle River Dr,3300000,936.0,3526
2415 Middle River Drive,Coral Ridge Galt,4095000,same street,2525 Middle River Dr,2875000,853.0,3372
2415 Middle River Drive,Coral Ridge Galt,4095000,same street,2541 Middle River Drive,2550000,758.0,3366
525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,4000000,same street,601 N Fort Lauderdale Beach Blvd Unit#1501,1525000,744.0,2050
525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,4000000,same street,1200 N Fort Lauderdale Beach Blvd Unit#701,770000,374.0,2059
525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,4000000,same street,525 N Fort Lauderdale Beach Blvd Unit#1404,3400000,1643.0,2069
525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,4000000,same street,1 N Fort Lauderdale Beach Blvd Unit#2002,2800000,1344.0,2083
525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,4000000,same street,701 N Fort Lauderdale Beach Blvd Unit#1704,2300000,1204.0,1910
20 NE 24th Street,Lazy Lake,4000000,same street,2825 NE 24th St,2350000,927.0,2536
20 NE 24th Street,Lazy Lake,4000000,same street,2017 NE 24th St,1320000,576.0,2292
20 NE 24th Street,Lazy Lake,4000000,same street,2600 NE 24th Street,1210000,611.0,1979
20 NE 24th Street,Lazy Lake,4000000,same street,2140 NE 24th Street,1247000,658.0,1894
20 NE 24th Street,Lazy Lake,4000000,same street,20 NE 24th St,900000,502.0,1792
2421 NE 12th Street,Beach Way Heights,3999999,same street,2409 NE 12th Street,2750000,658.0,4182
2421 NE 12th Street,Beach Way Heights,3999999,same street,1747 NE 12th Street Unit#1747,850000,414.0,2054
2421 NE 12th Street,Beach Way Heights,3999999,same street,1742 NE 12th Street,699900,360.0,1942
2421 NE 12th Street,Beach Way Heights,3999999,same street,2608 NE 12th St,1250000,664.0,1883
2421 NE 12th Street,Beach Way Heights,3999999,same street,1515 NE 12th St,570000,463.0,1231
1518 E Lake Drive,Harbor Beach,3995000,same street,1206 E Lake Dr,3225000,921.0,3500
1518 E Lake Drive,Harbor Beach,3995000,same street,1206 E Lake Dr,3437500,987.0,3483
1518 E Lake Drive,Harbor Beach,3995000,same street,1626 E Lake Drive,7135000,1286.0,5550
1518 E Lake Drive,Harbor Beach,3995000,same street,1600 E Lake Dr,3980000,665.0,5982
1125 SE 9th Street,Rio Vista,3995000,same street,1013 SE 9th St,2999000,749.0,4002
1125 SE 9th Street,Rio Vista,3995000,same street,1515 SE 9th St,4000000,1057.0,3786
1125 SE 9th Street,Rio Vista,3995000,same street,930 SE 9th St,3000000,712.0,4213
1125 SE 9th Street,Rio Vista,3995000,same street,1401 SE 9th Street,3795000,1295.0,2930
1125 SE 9th Street,Rio Vista,3995000,same street,805 SE 9th St,1300000,619.0,2100
2500 Middle River Dr,Coral Ridge Galt,3990000,same street,1400 Middle River Drive,4510000,999.0,4515
2500 Middle River Dr,Coral Ridge Galt,3990000,same street,1710 Middle River Dr,3150000,846.0,3722
2500 Middle River Dr,Coral Ridge Galt,3990000,same street,644 Middle River Dr,3300000,936.0,3526
2500 Middle River Dr,Coral Ridge Galt,3990000,same street,2525 Middle River Dr,2875000,853.0,3372
2500 Middle River Dr,Coral Ridge Galt,3990000,same street,2541 Middle River Drive,2550000,758.0,3366
411 N New River Drive Unit#PH 39A,Las Olas,3975000,same street,411 N New River Drive Unit#2401,1900000,721.0,2635
411 N New River Drive Unit#PH 39A,Las Olas,3975000,same street,411 N New River Dr Unit#2306,1985000,753.0,2635
411 N New River Drive Unit#PH 39A,Las Olas,3975000,same street,411 N New River Dr Unit#1406,1650000,626.0,2635
411 N New River Drive Unit#PH 39A,Las Olas,3975000,same street,411 N New River Dr Unit#806,1185000,450.0,2635
411 N New River Drive Unit#PH 39A,Las Olas,3975000,same street,411 N New River Dr Unit#2503,1590000,754.0,2110
87 Isle Of Venice Drive Unit#402s,Nurmi Isles,3972320,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#402s,Nurmi Isles,3972320,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#402s,Nurmi Isles,3972320,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#402s,Nurmi Isles,3972320,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
87 Isle Of Venice Drive Unit#402s,Nurmi Isles,3972320,same street,20 Isle Of Venice Dr Unit#PH-1,2885000,921.0,3134
87 Isle Of Venice Drive Unit#401n,Nurmi Isles,3944138,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#401n,Nurmi Isles,3944138,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#401n,Nurmi Isles,3944138,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#401n,Nurmi Isles,3944138,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
87 Isle Of Venice Drive Unit#401n,Nurmi Isles,3944138,same street,20 Isle Of Venice Dr Unit#PH-1,2885000,921.0,3134
100 E Las Olas Boulevard Unit#4301,Las Olas,3900000,same street,1760 E Las Olas Blvd Unit#300,2300000,592.0,3886
100 E Las Olas Boulevard Unit#4301,Las Olas,3900000,same street,2615 E Las Olas Boulevard,4160000,1103.0,3773
100 E Las Olas Boulevard Unit#4301,Las Olas,3900000,same street,2417 E Las Olas Blvd,2195000,672.0,3266
100 E Las Olas Boulevard Unit#4301,Las Olas,3900000,same street,100 E Las Olas Blvd Unit#4103,2100000,709.0,2964
100 E Las Olas Boulevard Unit#4301,Las Olas,3900000,same street,100 E Las Olas Boulevard Unit#3303,2100000,709.0,2964
2200 N Ocean Boulevard Unit#S706,Auberge Beach,3900000,same street,2200 N Ocean Boulevard Unit#S903,3800000,1363.0,2787
2200 N Ocean Boulevard Unit#S706,Auberge Beach,3900000,same street,2200 N Ocean Blvd Unit#S303,3500000,1256.0,2787
2200 N Ocean Boulevard Unit#S706,Auberge Beach,3900000,same street,2200 N Ocean Blvd Unit#N302,3862500,1449.0,2666
2200 N Ocean Boulevard Unit#S706,Auberge Beach,3900000,same street,2200 N Ocean Blvd Unit#S506,4250000,1597.0,2661
2200 N Ocean Boulevard Unit#S706,Auberge Beach,3900000,same street,2200 N Ocean Blvd Unit#S303,3700000,1411.0,2623
1624 Middle River,Coral Ridge,3900000,neighborhood + band,1420 Middle River Dr,3900000,1241.0,3142
1624 Middle River,Coral Ridge,3900000,neighborhood + band,2727 NE 17th Street,3500000,1126.0,3109
1624 Middle River,Coral Ridge,3900000,neighborhood + band,2738 NE 16th Street,3350000,1160.0,2888
1624 Middle River,Coral Ridge,3900000,neighborhood + band,1239 Seminole Dr,3500000,1006.0,3479
1624 Middle River,Coral Ridge,3900000,neighborhood + band,1710 Middle River Dr,3150000,846.0,3722
525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,3895000,same street,1 N Fort Lauderdale Beach Blvd Unit#1501,1250000,806.0,1550
525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,3895000,same street,701 N Fort Lauderdale Beach Blvd Unit#112,1050000,684.0,1536
525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,3895000,same street,701 N Fort Lauderdale Beach Blvd Unit#212,1450000,870.0,1667
525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,3895000,same street,701 N Fort Lauderdale Beach Blvd Unit#114,1200000,799.0,1501
525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,3895000,same street,1151 N Fort Lauderdale Beach Boulevard Unit#17b,1080000,635.0,1700
1200 Holiday Drive Unit#1003,Coconut Grove Residences,3895000,same street,1200 Holiday Dr Unit#506,1150000,594.0,1937
1200 Holiday Drive Unit#1003,Coconut Grove Residences,3895000,same street,3000 Holiday Dr Unit#1603,705000,433.0,1627
1200 Holiday Drive Unit#1003,Coconut Grove Residences,3895000,same street,1200 Holiday Dr Unit#208,619000,423.0,1465
1200 Holiday Drive Unit#1003,Coconut Grove Residences,3895000,same street,3000 Holiday Dr Unit#1206,480000,395.0,1214
1200 Holiday Drive Unit#1003,Coconut Grove Residences,3895000,same street,3000 Holiday Dr Unit#1406,385000,317.0,1214
1629 NE 6th Street,Victoria Park,3850000,same street,1600 NE 6th St,3150000,844.0,3734
1629 NE 6th Street,Victoria Park,3850000,same street,1504 NE 6th Street,2700000,783.0,3448
1629 NE 6th Street,Victoria Park,3850000,same street,1418 NE 6th St Unit#1418,2125000,631.0,3369
1629 NE 6th Street,Victoria Park,3850000,same street,1400 NE 6th Street,1250000,444.0,2817
1629 NE 6th Street,Victoria Park,3850000,same street,1608 NE 6th St,1725000,652.0,2645
551 Bayshore Drive Unit#901C,Ritz Carlton Residences Rc Fort Lauderdale,3832000,same street,435 Bayshore Dr Unit#501,3100000,1292.0,2400
551 Bayshore Drive Unit#901C,Ritz Carlton Residences Rc Fort Lauderdale,3832000,same street,615 Bayshore Dr Unit#402,1949000,812.0,2400
551 Bayshore Drive Unit#901C,Ritz Carlton Residences Rc Fort Lauderdale,3832000,same street,435 Bayshore Dr Unit#301,2950000,1238.0,2383
551 Bayshore Drive Unit#901C,Ritz Carlton Residences Rc Fort Lauderdale,3832000,same street,615 Bayshore Drive Unit#303,1200000,507.0,2365
551 Bayshore Drive Unit#901C,Ritz Carlton Residences Rc Fort Lauderdale,3832000,same street,777 Bayshore Drive Unit#1003,1200000,482.0,2490
87 Isle Of Venice Drive Unit#302s,Nurmi Isles,3827280,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#302s,Nurmi Isles,3827280,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#302s,Nurmi Isles,3827280,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#302s,Nurmi Isles,3827280,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
87 Isle Of Venice Drive Unit#302s,Nurmi Isles,3827280,same street,20 Isle Of Venice Dr Unit#PH-1,2885000,921.0,3134
87 Isle Of Venice Drive Unit#301n,Nurmi Isles,3800127,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#301n,Nurmi Isles,3800127,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#301n,Nurmi Isles,3800127,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#301n,Nurmi Isles,3800127,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
87 Isle Of Venice Drive Unit#301n,Nurmi Isles,3800127,same street,20 Isle Of Venice Dr Unit#PH-1,2885000,921.0,3134
505 NE 2nd Street Unit#29B,Viceroy Fort Lauderdale,3780000,same street,313 NE 2nd St Unit#905,475000,375.0,1265
505 NE 2nd Street Unit#29B,Viceroy Fort Lauderdale,3780000,same street,313 NE 2nd Street Unit#405,457000,361.0,1265
505 NE 2nd Street Unit#29B,Viceroy Fort Lauderdale,3780000,same street,313 NE 2nd St Unit#201,370000,460.0,804
505 NE 2nd Street Unit#29B,Viceroy Fort Lauderdale,3780000,same street,313 NE 2nd St Unit#802,330000,437.0,755
505 NE 2nd Street Unit#29B,Viceroy Fort Lauderdale,3780000,same street,313 NE 2nd St Unit#1002,300000,397.0,755
2311 Delmar Pl,Gould Isles,3750000,same street,2323 Delmar Pl,5275000,1220.0,4322
2311 Delmar Pl,Gould Isles,3750000,same street,2425 Delmar Place,5975000,1268.0,4714
2311 Delmar Pl,Gould Isles,3750000,same street,2412 Delmar Place,7164446,1506.0,4758
2311 Delmar Pl,Gould Isles,3750000,same street,2626 Delmar Pl,27800000,2049.0,13567
1630 SE 11th Street,Rio Vista,3750000,same street,1601 SE 11th St,2984000,1210.0,2466
1630 SE 11th Street,Rio Vista,3750000,same street,1505 SE 11TH ST,2425000,888.0,2732
1630 SE 11th Street,Rio Vista,3750000,same street,1113 SE 11th Street,1550000,929.0,1669
1630 SE 11th Street,Rio Vista,3750000,same street,1116 SE 11th Street,1535000,1059.0,1450
1630 SE 11th Street,Rio Vista,3750000,same street,1617 SE 11th St,6500000,1273.0,5105
1036 SE 12th Way,Rio Vista,3750000,same street,1222 SE 12th Way,1950000,442.0,4407
1036 SE 12th Way,Rio Vista,3750000,same street,1356 SE 12th Way,1200000,462.0,2600
1036 SE 12th Way,Rio Vista,3750000,same street,1022 SE 12th Way,1500000,579.0,2590
1036 SE 12th Way,Rio Vista,3750000,same street,1240 SE 12th Way,850000,532.0,1597
1036 SE 12th Way,Rio Vista,3750000,same street,1330 SE 12th Way,858600,865.0,993
1117 SE 9th St,Rio Vista,3750000,same street,930 SE 9th St,3000000,712.0,4213
1117 SE 9th St,Rio Vista,3750000,same street,1013 SE 9th St,2999000,749.0,4002
1117 SE 9th St,Rio Vista,3750000,same street,1515 SE 9th St,4000000,1057.0,3786
1117 SE 9th St,Rio Vista,3750000,same street,1401 SE 9th Street,3795000,1295.0,2930
1117 SE 9th St,Rio Vista,3750000,same street,1716 SE 9TH ST,6950000,1124.0,6186
500 Hendricks Isle Unit#4N,Lumiere,3740000,same street,45 Hendricks Isle Unit#201,1800000,604.0,2979
500 Hendricks Isle Unit#4N,Lumiere,3740000,same street,417 Hendricks Isle,1500000,501.0,2992
500 Hendricks Isle Unit#4N,Lumiere,3740000,same street,301 Hendricks Isle Unit#2,1750000,571.0,3064
500 Hendricks Isle Unit#4N,Lumiere,3740000,same street,423 Hendricks Isle,2450000,790.0,3102
500 Hendricks Isle Unit#4N,Lumiere,3740000,same street,421 Hendricks Isle,2517000,811.0,3102
87 Isle Of Venice Drive Unit#202s,Nurmi Isles,3726640,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#202s,Nurmi Isles,3726640,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#202s,Nurmi Isles,3726640,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#202s,Nurmi Isles,3726640,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
87 Isle Of Venice Drive Unit#202s,Nurmi Isles,3726640,same street,20 Isle Of Venice Dr Unit#PH-1,2885000,921.0,3134
900 Intracoastal Drive Unit#602,Sage Intracoastal,3715185,same street,920 Intracoastal Dr Unit#1501,2375000,745.0,3190
900 Intracoastal Drive Unit#602,Sage Intracoastal,3715185,same street,920 Intracoastal Dr Unit#1201,2175000,681.0,3195
900 Intracoastal Drive Unit#602,Sage Intracoastal,3715185,same street,920 Intracoastal Dr Unit#903,2800000,859.0,3258
900 Intracoastal Drive Unit#602,Sage Intracoastal,3715185,same street,920 Intracoastal Dr Unit#603,1950000,599.0,3258
900 Intracoastal Drive Unit#602,Sage Intracoastal,3715185,same street,936 Intracoastal Dr Unit#PH4,1376000,416.0,3305
87 Isle Of Venice Drive Unit#201n,Nurmi Isles,3700201,same street,160 Isle Of Venice Dr Unit#203,2725000,934.0,2918
87 Isle Of Venice Drive Unit#201n,Nurmi Isles,3700201,same street,133 Isle of Venice Dr Unit#301,1862500,654.0,2849
87 Isle Of Venice Drive Unit#201n,Nurmi Isles,3700201,same street,141 Isle of Venice Dr Unit#3-S,3450000,1110.0,3108
87 Isle Of Venice Drive Unit#201n,Nurmi Isles,3700201,same street,141 Isle Of Venice Dr Unit#PH-N,3850000,1230.0,3131
